"","cname","year","ccode","ccodealp","id","eper","cab","elec","par","exeleg","fed","dec","bic","jud","const","dir","pres","exepar8110","feduni8110","gtm_centrip","gdp","ppi","poli"
"1219","Portugal",1998,620,"PRT",48,3,3,4.6,2.55,0.59,1,4.309578861,1,1,2,-1.5,2,0.04,-0.63,6,14409.67,0.629999995231628,10
"1224","Portugal",1999,620,"PRT",48,3,3,4.6,2.55,0.59,1,4.478125506,1,1,2,-1.5,2,0.04,-0.63,6,15549.99,0.629999995231628,10
"1221","Portugal",2000,620,"PRT",48,4,3,4.9,2.61,0.59,1,4.515553588,1,1,2,-1.5,2,0.04,-0.63,6,17019.529,0.629999995231628,10
"1222","Portugal",2001,620,"PRT",48,4,3,4.9,2.61,0.59,1,4.390882765,1,1,2,-1.5,2,0.04,-0.63,NA,17541.34,0.629999995231628,10
"1215","Portugal",2002,620,"PRT",48,4,3,4.9,2.61,0.59,1,4.562563663,1,1,2,-1.5,2,0.04,-0.63,NA,17724.551,0.629999995231628,10
"1216","Portugal",2003,620,"PRT",48,5,2,4.64,2.5,0.59,1,4.513177645,1,1,2,-1.5,2,0.04,-0.63,NA,17723.98,0.629999995231628,10
"1225","Portugal",2004,620,"PRT",48,5,2,4.64,2.5,0.59,1,5.238935573,1,1,2,-1.5,2,0.04,-0.63,NA,18184.9,0.629999995231628,10
"1226","Portugal",2005,620,"PRT",48,5,2,4.64,2.5,0.59,1,5.095614039,1,1,2,-1.5,2,0.04,-0.63,NA,20277.51,0.629999995231628,10
"1237","Portugal",2006,620,"PRT",48,6,2,5.75,2.56,0.59,1,6.699225273,1,1,2,-1.5,2,0.04,-0.63,NA,21365.119,0.629999995231628,10
"1230","Portugal",2007,620,"PRT",48,6,2,5.75,2.56,0.59,1,7.177092338,1,1,2,-1.5,2,0.04,-0.63,NA,22306.41,0.629999995231628,10
"1231","Portugal",2008,620,"PRT",48,6,2,5.75,2.56,0.59,1,7.141533828,1,1,2,-1.5,2,0.04,-0.63,NA,22926.16,0.629999995231628,10
"1232","Portugal",2009,620,"PRT",48,6,2,5.75,2.56,0.59,1,7.134174879,1,1,2,-1.5,2,0.04,-0.63,NA,22711.211,0.629999995231628,10
"1233","Portugal",2010,620,"PRT",48,7,3,5.63,3.13,0.59,1,6.845842916,1,1,2,-1.5,2,0.04,-0.63,NA,23734.33,0.629999995231628,10
"1234","Portugal",2011,620,"PRT",48,7,3,5.63,3.13,0.59,1,6.540978627,1,1,2,-1.5,2,0.04,-0.63,NA,23744.631,0.629999995231628,10
"1235","Portugal",2012,620,"PRT",48,8,2,5.68,2.93,0.59,1,7.122858129,1,1,2,-1.5,2,0.04,-0.63,NA,NA,0.629999995231628,10
"1236","Portugal",2013,620,"PRT",48,8,2,5.68,2.93,0.59,1,NA,1,1,2,-1.5,2,0.04,-0.63,NA,NA,0.629999995231628,NA
"1223","Portugal",2014,620,"PRT",48,8,2,5.68,2.93,0.59,1,NA,1,1,2,-1.5,2,0.04,-0.63,NA,NA,0.629999995231628,NA
"1228","Portugal",2015,NA,"PRT",48,8,2,5.68,2.93,0.59,1,NA,1,1,2,-1.5,2,0.04,-0.63,NA,NA,0.629999995231628,NA
"1254","Romania",1996,642,"ROU",49,1,3,6.34,4.78,0.72,1,9.59310159,3,1,2,0.5,2,NA,NA,4.5,5229.0298,0.720000028610229,8
"1252","Romania",1997,642,"ROU",49,1,4,6.34,4.31,0.72,1,9.018926795,3,1,2,0.5,2,NA,NA,4.5,5211.5601,0.720000028610229,8
"1253","Romania",1998,642,"ROU",49,1,4,6.34,4.31,0.72,1,6.90463663,3,1,2,0.5,2,NA,NA,4.5,5314.3301,0.720000028610229,8
"1248","Romania",1999,642,"ROU",49,1,4,6.34,4.31,0.72,1,9.367410663,3,1,2,0.5,2,NA,NA,4.5,5587.1802,0.720000028610229,8
"1249","Romania",2000,642,"ROU",49,1,4,6.34,4.31,0.72,1,3.889894761,3,1,2,0.5,2,NA,NA,4.5,5976.8701,0.720000028610229,8
"1250","Romania",2001,642,"ROU",49,2,3,8.56,3.56,0.72,1,3.786026111,3,1,2,0.5,2,NA,NA,NA,6759.23,0.720000028610229,8
"1251","Romania",2002,642,"ROU",49,2,3,8.56,3.56,0.72,1,3.0508013,3,1,2,0.5,2,NA,NA,NA,7092.54,0.720000028610229,8
"1256","Romania",2003,642,"ROU",49,2,3,8.56,3.56,0.72,1,3.442434977,3,1,2,0.5,2,NA,NA,NA,7601.1802,0.720000028610229,8
"1255","Romania",2004,642,"ROU",49,2,3,8.56,3.56,0.72,1,3.317688852,3,1,2,0.5,2,NA,NA,NA,7234.54,0.720000028610229,9
"1257","Romania",2005,642,"ROU",49,3,3,3.74,3.36,0.72,1,3.066077582,3,1,2,0.5,2,NA,NA,NA,9211.79,0.720000028610229,9
"1244","Romania",2006,642,"ROU",49,3,3,3.74,3.36,0.72,1,3.365515237,3,1,2,0.5,2,NA,NA,NA,10680.7,0.720000028610229,9
"1245","Romania",2007,642,"ROU",49,3,3,3.74,3.36,0.72,1,3.86749737,3,1,2,0.5,2,NA,NA,NA,11975.65,0.720000028610229,9
"1246","Romania",2008,642,"ROU",49,3,3,3.74,3.36,0.72,1,3.150518396,3,1,2,0.5,2,NA,NA,NA,13938.48,0.720000028610229,9
"1247","Romania",2009,642,"ROU",49,4,2,3.32,3.6,0.72,1,3.42194733,3,1,2,0.5,2,NA,NA,NA,13829.23,0.720000028610229,9
"1239","Romania",2010,642,"ROU",49,4,3,3.32,3.6,0.72,1,3.851051365,3,1,2,0.5,2,NA,NA,NA,14061.09,0.720000028610229,9
"1240","Romania",2011,642,"ROU",49,4,3,3.32,3.6,0.72,1,3.762773362,3,1,2,0.5,2,NA,NA,NA,14563.14,0.720000028610229,9
"1241","Romania",2012,642,"ROU",49,4,3,3.32,3.6,0.72,1,3.578441441,3,1,2,0.5,2,NA,NA,NA,NA,0.720000028610229,9
"1242","Romania",2013,642,"ROU",49,5,4,6.2,2.12,0.72,1,NA,3,1,2,0.5,2,NA,NA,NA,NA,0.720000028610229,NA
"1243","Romania",2014,642,"ROU",49,5,4,6.2,2.12,0.72,1,NA,3,1,2,0.5,2,NA,NA,NA,NA,0.720000028610229,NA
"1238","Romania",2015,NA,"ROU",49,5,3,6.2,2.12,0.72,1,NA,3,1,2,0.5,2,NA,NA,NA,NA,0.720000028610229,NA
"1296","Slovakia",1998,703,"SVK",50,1,2,2.9,4.75,0.8,1,1.400016891,1,2,2,2,1,NA,NA,6,10300.9,0.720000028610229,9
"1297","Slovakia",1999,703,"SVK",50,1,4,2.9,4.75,0.8,1,1.413373522,1,2,2,2,1,NA,NA,6,9956.9102,0.720000028610229,9
"1298","Slovakia",2000,703,"SVK",50,1,4,2.9,4.75,0.8,1,1.403813115,1,2,2,2,1,NA,NA,6,10833.59,0.720000028610229,9
"1299","Slovakia",2001,703,"SVK",50,1,4,2.9,4.75,0.8,1,1.367115469,1,2,2,2,1,NA,NA,NA,11854.17,0.720000028610229,9
"1300","Slovakia",2002,703,"SVK",50,1,2,2.9,4.75,0.8,1,1.828261611,1,2,2,2,1,NA,NA,NA,12347.32,0.720000028610229,9
"1301","Slovakia",2003,703,"SVK",50,2,2,6.97,6.12,0.8,1,1.804995114,1,2,2,2,1,NA,NA,NA,12404.23,0.720000028610229,9
"1302","Slovakia",2004,703,"SVK",50,2,2,6.97,6.12,0.8,1,1.82290618,1,2,2,2,1,NA,NA,NA,13187.16,0.720000028610229,9
"1303","Slovakia",2005,703,"SVK",50,2,2,6.97,6.12,0.8,1,2.69103185,1,2,2,2,1,NA,NA,NA,15215.41,0.720000028610229,9
"1304","Slovakia",2006,703,"SVK",50,2,2,6.97,6.12,0.8,1,2.782201494,1,2,2,2,1,NA,NA,NA,16469.609,0.720000028610229,10
"1305","Slovakia",2007,703,"SVK",50,3,2,5.53,4.81,0.8,1,2.63996277,1,2,2,2,1,NA,NA,NA,18043.68,0.720000028610229,10
"1306","Slovakia",2008,703,"SVK",50,3,2,5.53,4.81,0.8,1,2.601757847,1,2,2,2,1,NA,NA,NA,20069.51,0.720000028610229,10
"1307","Slovakia",2009,703,"SVK",50,3,2,5.53,4.81,0.8,1,2.882708628,1,2,2,2,1,NA,NA,NA,20008.4,0.720000028610229,10
"1308","Slovakia",2010,703,"SVK",50,3,2,5.53,4.81,0.8,1,2.924917065,1,2,2,2,1,NA,NA,NA,20983.73,0.720000028610229,10
"1309","Slovakia",2011,703,"SVK",50,4,3,7.46,4.01,0.8,1,2.86289261,1,2,2,2,1,NA,NA,NA,21776.34,0.720000028610229,10
"1310","Slovakia",2012,703,"SVK",50,4,3,7.46,4.01,0.8,1,3.016292566,1,2,2,2,1,NA,NA,NA,NA,0.720000028610229,10
"1293","Slovakia",2013,703,"SVK",50,5,1,9.77,2.85,0.8,1,NA,1,2,2,2,1,NA,NA,NA,NA,0.720000028610229,NA
"1294","Slovakia",2014,703,"SVK",50,5,1,9.77,2.85,0.8,1,NA,1,2,2,2,1,NA,NA,NA,NA,0.720000028610229,NA
"1295","Slovakia",2015,NA,"SVK",50,5,1,9.77,2.85,0.8,1,NA,1,2,2,2,1,NA,NA,NA,NA,0.720000028610229,NA
"1330","Slovenia",1991,705,"SVN",51,1,2,2.94,8.21,0.75,1,NA,3,2,2,2,1,NA,NA,6,NA,0.75,10
"1331","Slovenia",1992,705,"SVN",51,1,2,2.94,8.21,0.75,1,7.524542319,3,2,2,2,1,NA,NA,6,10996.65,0.75,10
"1332","Slovenia",1993,705,"SVN",51,2,3,5.33,6.61,0.75,1,7.714722809,3,2,2,2,1,NA,NA,6,12005.32,0.75,10
"1333","Slovenia",1994,705,"SVN",51,2,4,5.33,6.61,0.75,1,7.689838324,3,2,2,2,1,NA,NA,6,12864.86,0.75,10
"1334","Slovenia",1995,705,"SVN",51,2,2,5.33,6.61,0.75,1,6.347935684,3,2,2,2,1,NA,NA,6,13853.19,0.75,10
"1335","Slovenia",1996,705,"SVN",51,2,2,5.33,6.61,0.75,1,6.623590041,3,2,2,2,1,NA,NA,6,14502.92,0.75,10
"1328","Slovenia",1997,705,"SVN",51,3,3,3.59,5.53,0.75,1,6.748992865,3,2,2,2,1,NA,NA,6,14838.62,0.75,10
"1329","Slovenia",1998,705,"SVN",51,3,2,3.59,5.53,0.75,1,6.547075336,3,2,2,2,1,NA,NA,6,14973.74,0.75,10
"1311","Slovenia",1999,705,"SVN",51,3,2,3.59,5.53,0.75,1,7.111187642,3,2,2,2,1,NA,NA,6,15603.9,0.75,10
"1312","Slovenia",2000,705,"SVN",51,3,2,3.59,5.53,0.75,1,7.276476798,3,2,2,2,1,NA,NA,6,16936.34,0.75,10
"1313","Slovenia",2001,705,"SVN",51,4,2,1.51,4.86,0.75,1,7.418150875,3,2,2,2,1,NA,NA,NA,17600.34,0.75,10
"1314","Slovenia",2002,705,"SVN",51,4,2,1.51,4.86,0.75,1,7.440770668,3,2,2,2,1,NA,NA,NA,18292.801,0.75,10
"1315","Slovenia",2003,705,"SVN",51,4,4,1.51,4.86,0.75,1,7.608916378,3,2,2,2,1,NA,NA,NA,18786.9,0.75,10
"1316","Slovenia",2004,705,"SVN",51,4,4,1.51,4.86,0.75,1,7.607878217,3,2,2,2,1,NA,NA,NA,20316.91,0.75,10
"1317","Slovenia",2005,705,"SVN",51,5,2,4.79,4.9,0.75,1,7.362214457,3,2,2,2,1,NA,NA,NA,21967.039,0.75,10
"1318","Slovenia",2006,705,"SVN",51,5,2,4.79,4.9,0.75,1,7.727604183,3,2,2,2,1,NA,NA,NA,22364.92,0.75,10
"1319","Slovenia",2007,705,"SVN",51,5,2,4.79,4.9,0.75,1,9.057714764,3,2,2,2,1,NA,NA,NA,23950.59,0.75,10
"1320","Slovenia",2008,705,"SVN",51,5,2,4.79,4.9,0.75,1,8.914810932,3,2,2,2,1,NA,NA,NA,25025.811,0.75,10
"1321","Slovenia",2009,705,"SVN",51,6,3,3.89,4.23,0.75,1,10.08905386,3,2,2,2,1,NA,NA,NA,24239.25,0.75,10
"1322","Slovenia",2010,705,"SVN",51,6,3,3.89,4.23,0.75,1,10.7452865,3,2,2,2,1,NA,NA,NA,24788.85,0.75,10
"1323","Slovenia",2011,705,"SVN",51,6,3,3.89,4.23,0.75,1,10.87403405,3,2,2,2,1,NA,NA,NA,24456.561,0.75,10
"1324","Slovenia",2012,705,"SVN",51,6,2,3.89,4.73,0.75,1,11.1214681,3,2,2,2,1,NA,NA,NA,NA,0.75,10
"1325","Slovenia",2013,705,"SVN",51,6,2,3.89,4.73,0.75,1,NA,3,2,2,2,1,NA,NA,NA,NA,0.75,NA
"1326","Slovenia",2014,705,"SVN",51,6,2,3.89,4.73,0.75,1,NA,3,2,2,2,1,NA,NA,NA,NA,0.75,NA
"1327","Slovenia",2015,NA,"SVN",51,7,2,6.57,3.97,0.75,1,NA,3,2,2,2,1,NA,NA,NA,NA,0.75,NA
"1460","South Africa",1994,710,"ZAF",52,1,1,0.36,2.21,0.72,2,NA,4,2,3,-1,1,NA,NA,4.5,4349.0601,0.629999995231628,9
"1461","South Africa",1995,710,"ZAF",52,1,1,0.36,2.21,0.72,2,NA,4,2,3,-1,1,NA,NA,4.5,4568.6201,0.629999995231628,9
"1462","South Africa",1996,710,"ZAF",52,1,1,0.36,2.21,0.72,2,NA,4,2,3,-1,1,NA,NA,4.5,4706.0801,0.629999995231628,9
"1463","South Africa",1997,710,"ZAF",52,1,1,0.36,2.21,0.72,2,NA,4,2,3,-1,1,NA,NA,4.5,4773.8701,0.629999995231628,9
"1464","South Africa",1998,710,"ZAF",52,1,1,0.36,2.21,0.72,2,NA,4,2,3,-1,1,NA,NA,4.5,4833.8198,0.629999995231628,9
"1465","South Africa",1999,710,"ZAF",52,1,1,0.36,2.21,0.72,2,NA,4,2,3,-1,1,NA,NA,4.5,4905.6499,0.629999995231628,9
"1466","South Africa",2000,710,"ZAF",52,2,1,0.28,2.15,0.72,2,11.3413486480713,4,2,3,-1,1,NA,NA,4.5,5227.48,0.629999995231628,9
"1467","South Africa",2001,710,"ZAF",52,2,1,0.28,2.15,0.72,2,NA,4,2,3,-1,1,NA,NA,NA,5461.3101,0.629999995231628,9
"1468","South Africa",2002,710,"ZAF",52,2,1,0.28,2.15,0.72,2,NA,4,2,3,-1,1,NA,NA,NA,5772.6001,0.629999995231628,9
"1469","South Africa",2003,710,"ZAF",52,2,1,0.28,2.15,0.72,2,NA,4,2,3,-1,1,NA,NA,NA,5917.6499,0.629999995231628,9
"1470","South Africa",2004,710,"ZAF",52,2,1,0.28,2.15,0.72,2,NA,4,2,3,-1,1,NA,NA,NA,6328.0498,0.629999995231628,9
"1471","South Africa",2005,710,"ZAF",52,3,1,0.26,1.97,0.72,2,NA,4,2,3,-1,1,NA,NA,NA,6928.1201,0.629999995231628,9
"1472","South Africa",2006,710,"ZAF",52,3,1,0.26,1.97,0.72,2,NA,4,2,3,-1,1,NA,NA,NA,7403.5498,0.629999995231628,9
"1473","South Africa",2007,710,"ZAF",52,3,1,0.26,1.97,0.72,2,NA,4,2,3,-1,1,NA,NA,NA,7865.1699,0.629999995231628,9
"1479","South Africa",2008,710,"ZAF",52,3,1,0.26,1.97,0.72,2,NA,4,2,3,-1,1,NA,NA,NA,8158.52,0.629999995231628,9
"1474","South Africa",2009,710,"ZAF",52,3,1,0.26,1.97,0.72,2,NA,4,2,3,-1,1,NA,NA,NA,8051.4302,0.629999995231628,9
"1480","South Africa",2010,710,"ZAF",52,4,1,0.3,2.12,0.72,2,NA,4,2,3,-1,1,NA,NA,NA,8358.4199,0.629999995231628,9
"1475","South Africa",2011,710,"ZAF",52,4,1,0.3,2.12,0.72,2,NA,4,2,3,-1,1,NA,NA,NA,8820.0596,0.629999995231628,9
"1476","South Africa",2012,710,"ZAF",52,4,1,0.3,2.12,0.72,2,NA,4,2,3,-1,1,NA,NA,NA,NA,0.629999995231628,9
"1477","South Africa",2013,710,"ZAF",52,4,1,0.3,2.12,0.72,2,NA,4,2,3,-1,1,NA,NA,NA,NA,0.629999995231628,NA
"1481","South Africa",2014,710,"ZAF",52,4,1,0.3,2.12,0.72,2,NA,4,2,3,-1,1,NA,NA,NA,NA,0.629999995231628,NA
"1478","South Africa",2015,NA,"ZAF",52,5,1,0.37,2.26,0.72,2,NA,4,2,3,-1,1,NA,NA,NA,NA,0.629999995231628,NA
"471","Spain",1990,724,"ESP",53,1,3,9.35,2.85,0.74,2,12.61187791,3,2,2,-0.5,1,-0.63,0.42,5,10955.25,0.720000028610229,10
"472","Spain",1991,724,"ESP",53,1,3,9.35,2.85,0.74,2,12.33678306,3,2,2,-0.5,1,-0.63,0.42,5,11798.97,0.720000028610229,10
"459","Spain",1992,724,"ESP",53,1,3,9.35,2.85,0.74,2,12.18151003,3,2,2,-0.5,1,-0.63,0.42,5,12367.34,0.720000028610229,10
"460","Spain",1993,724,"ESP",53,1,3,9.35,2.85,0.74,2,12.69245347,3,2,2,-0.5,1,-0.63,0.42,5,12738.75,0.720000028610229,10
"461","Spain",1994,724,"ESP",53,2,3,7.08,2.67,0.74,2,13.00608302,3,2,2,-0.5,1,-0.63,0.42,5,13549.45,0.720000028610229,10
"462","Spain",1995,724,"ESP",53,2,3,7.08,2.67,0.74,2,13.31938669,3,2,2,-0.5,1,-0.63,0.42,5,14515.09,0.720000028610229,10
"463","Spain",1996,724,"ESP",53,2,3,7.08,2.67,0.74,2,13.63881202,3,2,2,-0.5,1,-0.63,0.42,5,15177.27,0.720000028610229,10
"464","Spain",1997,724,"ESP",53,3,3,5.36,2.72,0.74,2,16.31234891,3,2,2,-0.5,1,-0.63,0.42,5,16454.5,0.720000028610229,10
"465","Spain",1998,724,"ESP",53,3,3,5.36,2.72,0.74,2,17.1143472,3,2,2,-0.5,1,-0.63,0.42,5,17818,0.720000028610229,10
"454","Spain",1999,724,"ESP",53,3,3,5.36,2.72,0.74,2,17.00329958,3,2,2,-0.5,1,-0.63,0.42,5,18989.82,0.720000028610229,10
"458","Spain",2000,724,"ESP",53,3,3,5.36,2.72,0.74,2,16.75112105,3,2,2,-0.5,1,-0.63,0.42,5,20831.48,0.720000028610229,10
"455","Spain",2001,724,"ESP",53,4,1,6.1,2.48,0.74,2,16.42704509,3,2,2,-0.5,1,-0.63,0.42,NA,21865.359,0.720000028610229,10
"456","Spain",2002,724,"ESP",53,4,1,6.1,2.48,0.74,2,26.83019154,3,2,2,-0.5,1,-0.63,0.42,NA,22822.381,0.720000028610229,10
"457","Spain",2003,724,"ESP",53,4,1,6.1,2.48,0.74,2,28.68760221,3,2,2,-0.5,1,-0.63,0.42,NA,22974.811,0.720000028610229,10
"479","Spain",2004,724,"ESP",53,4,1,6.1,2.48,0.74,2,30.16698473,3,2,2,-0.5,1,-0.63,0.42,NA,24139.91,0.720000028610229,10
"473","Spain",2005,724,"ESP",53,5,3,4.25,2.53,0.74,2,30.49918522,3,2,2,-0.5,1,-0.63,0.42,NA,26273.619,0.720000028610229,10
"474","Spain",2006,724,"ESP",53,5,3,4.25,2.53,0.74,2,30.6552496,3,2,2,-0.5,1,-0.63,0.42,NA,28646.33,0.720000028610229,10
"475","Spain",2007,724,"ESP",53,5,3,4.25,2.53,0.74,2,30.1171869,3,2,2,-0.5,1,-0.63,0.42,NA,30589.91,0.720000028610229,10
"476","Spain",2008,724,"ESP",53,5,3,4.25,2.53,0.74,2,31.56762034,3,2,2,-0.5,1,-0.63,0.42,NA,31516.131,0.720000028610229,10
"477","Spain",2009,724,"ESP",53,6,3,4.49,2.36,0.74,2,33.19309691,3,2,2,-0.5,1,-0.63,0.42,NA,30602.5,0.720000028610229,10
"478","Spain",2010,724,"ESP",53,6,3,4.49,2.36,0.74,2,27.71709063,3,2,2,-0.5,1,-0.63,0.42,NA,30670.369,0.720000028610229,10
"466","Spain",2011,724,"ESP",53,6,3,4.49,2.36,0.74,2,32.67548944,3,2,2,-0.5,1,-0.63,0.42,NA,31086.35,0.720000028610229,10
"467","Spain",2012,724,"ESP",53,7,1,6.93,2.6,0.74,2,41.92266409,3,2,2,-0.5,1,-0.63,0.42,NA,NA,0.720000028610229,10
"468","Spain",2013,724,"ESP",53,7,1,6.93,2.6,0.74,2,NA,3,2,2,-0.5,1,-0.63,0.42,NA,NA,0.720000028610229,NA
"469","Spain",2014,724,"ESP",53,7,1,6.93,2.6,0.74,2,NA,3,2,2,-0.5,1,-0.63,0.42,NA,NA,0.720000028610229,NA
"470","Spain",2015,NA,"ESP",53,7,2,6.93,2.6,0.74,2,NA,3,2,2,-0.5,1,-0.63,0.42,NA,NA,0.720000028610229,NA
"1277","Suriname",2000,740,"SUR",54,1,1,13.7,2.15,NA,1,NA,1,1,2,-1,3,NA,NA,5,4318.54,NA,5
"1278","Suriname",2001,740,"SUR",54,1,1,13.7,2.15,NA,1,NA,1,1,2,-1,3,NA,NA,NA,4460.23,NA,5
"1279","Suriname",2002,740,"SUR",54,1,1,13.7,2.15,NA,1,NA,1,1,2,-1,3,NA,NA,NA,4472.1401,NA,5
"1280","Suriname",2003,740,"SUR",54,1,1,13.7,2.15,NA,1,NA,1,1,2,-1,3,NA,NA,NA,4990.3301,NA,5
"1281","Suriname",2004,740,"SUR",54,1,1,13.7,2.15,NA,1,NA,1,1,2,-1,3,NA,NA,NA,4919.5801,NA,5
"1282","Suriname",2005,740,"SUR",54,1,1,13.7,2.15,NA,1,NA,1,1,2,-1,3,NA,NA,NA,5039.5801,NA,5
"1283","Suriname",2006,740,"SUR",54,2,1,7.38,3.2,NA,1,NA,1,1,2,-1,3,NA,NA,NA,5264.8101,NA,5
"1284","Suriname",2007,740,"SUR",54,2,1,7.38,3.2,NA,1,NA,1,1,2,-1,3,NA,NA,NA,5213.75,NA,5
"1285","Suriname",2008,740,"SUR",54,2,1,7.38,3.2,NA,1,NA,1,1,2,-1,3,NA,NA,NA,5346.5801,NA,5
"1286","Suriname",2009,740,"SUR",54,2,1,7.38,3.2,NA,1,NA,1,1,2,-1,3,NA,NA,NA,5656.3101,NA,5
"1290","Suriname",2010,740,"SUR",54,2,1,7.38,3.2,NA,1,NA,1,1,2,-1,3,NA,NA,NA,6221.8599,NA,5
"1291","Suriname",2011,740,"SUR",54,3,1,8.94,3.21,NA,1,NA,1,1,2,-1,3,NA,NA,NA,6049.1499,NA,5
"1292","Suriname",2012,740,"SUR",54,3,1,8.94,3.21,NA,1,NA,1,1,2,-1,3,NA,NA,NA,NA,NA,5
"1287","Suriname",2013,740,"SUR",54,3,1,8.94,3.21,NA,1,NA,1,1,2,-1,3,NA,NA,NA,NA,NA,NA
"1288","Suriname",2014,740,"SUR",54,3,1,8.94,3.21,NA,1,NA,1,1,2,-1,3,NA,NA,NA,NA,NA,NA
"1289","Suriname",2015,NA,"SUR",54,3,1,8.94,3.21,NA,1,NA,1,1,2,-1,3,NA,NA,NA,NA,NA,NA
"1342","Sweden",1990,752,"SWE",55,1,3,2.45,3.67,0.72,1,29.23687055,1,1,2,-0.5,1,0.87,-1.09,6,17170.529,0.720000028610229,10
"1343","Sweden",1991,752,"SWE",55,1,3,2.45,3.67,0.72,1,30.9006485,1,1,2,-0.5,1,0.87,-1.09,6,17528.5,0.720000028610229,10
"1344","Sweden",1992,752,"SWE",55,2,3,2.86,4.19,0.72,1,33.47417923,1,1,2,-0.5,1,0.87,-1.09,6,17760.16,0.720000028610229,10
"1345","Sweden",1993,752,"SWE",55,2,3,2.86,4.19,0.72,1,34.57970099,1,1,2,-0.5,1,0.87,-1.09,6,17385.359,0.720000028610229,10
"1346","Sweden",1994,752,"SWE",55,2,3,2.86,4.19,0.72,1,33.79629689,1,1,2,-0.5,1,0.87,-1.09,6,18713.561,0.720000028610229,10
"1347","Sweden",1995,752,"SWE",55,3,3,1.18,3.5,0.72,1,30.94009455,1,1,2,-0.5,1,0.87,-1.09,6,20375.609,0.720000028610229,10
"1336","Sweden",1996,752,"SWE",55,3,3,1.18,3.5,0.72,1,30.35773013,1,1,2,-0.5,1,0.87,-1.09,6,21234.74,0.720000028610229,10
"1337","Sweden",1997,752,"SWE",55,3,3,1.18,3.5,0.72,1,29.41050472,1,1,2,-0.5,1,0.87,-1.09,6,22141.66,0.720000028610229,10
"1341","Sweden",1998,752,"SWE",55,3,3,1.18,3.5,0.72,1,29.0990306,1,1,2,-0.5,1,0.87,-1.09,6,23241.881,0.720000028610229,10
"1338","Sweden",1999,752,"SWE",55,4,3,0.97,4.29,0.72,1,29.5886302,1,1,2,-0.5,1,0.87,-1.09,6,24980.561,0.720000028610229,10
"1339","Sweden",2000,752,"SWE",55,4,3,0.97,4.29,0.72,1,28.86052197,1,1,2,-0.5,1,0.87,-1.09,6,27685.971,0.720000028610229,10
"1340","Sweden",2001,752,"SWE",55,4,3,0.97,4.29,0.72,1,30.9932873,1,1,2,-0.5,1,0.87,-1.09,NA,27625.01,0.720000028610229,10
"1355","Sweden",2002,752,"SWE",55,4,3,0.97,4.29,0.72,1,32.637026,1,1,2,-0.5,1,0.87,-1.09,NA,28354.52,0.720000028610229,10
"1356","Sweden",2003,752,"SWE",55,5,3,1.52,4.23,0.72,1,33.15383452,1,1,2,-0.5,1,0.87,-1.09,NA,29650.82,0.720000028610229,10
"1357","Sweden",2004,752,"SWE",55,5,3,1.52,4.23,0.72,1,32.83140176,1,1,2,-0.5,1,0.87,-1.09,NA,31653.619,0.720000028610229,10
"1358","Sweden",2005,752,"SWE",55,5,3,1.52,4.23,0.72,1,32.18167759,1,1,2,-0.5,1,0.87,-1.09,NA,32231.33,0.720000028610229,10
"1359","Sweden",2006,752,"SWE",55,5,3,1.52,4.23,0.72,1,31.91638756,1,1,2,-0.5,1,0.87,-1.09,NA,33802.84,0.720000028610229,10
"1360","Sweden",2007,752,"SWE",55,6,2,3.02,4.15,0.72,1,32.36083383,1,1,2,-0.5,1,0.87,-1.09,NA,36006.309,0.720000028610229,10
"1348","Sweden",2008,752,"SWE",55,6,2,3.02,4.15,0.72,1,34.64402157,1,1,2,-0.5,1,0.87,-1.09,NA,36398.719,0.720000028610229,10
"1349","Sweden",2009,752,"SWE",55,6,2,3.02,4.15,0.72,1,36.29486916,1,1,2,-0.5,1,0.87,-1.09,NA,34895.16,0.720000028610229,10
"1350","Sweden",2010,752,"SWE",55,6,2,3.02,4.15,0.72,1,35.42350391,1,1,2,-0.5,1,0.87,-1.09,NA,37324.281,0.720000028610229,10
"1351","Sweden",2011,752,"SWE",55,7,3,1.25,4.54,0.72,1,35.73735153,1,1,2,-0.5,1,0.87,-1.09,NA,39000.91,0.720000028610229,10
"1352","Sweden",2012,752,"SWE",55,7,3,1.25,4.54,0.72,1,36.62059584,1,1,2,-0.5,1,0.87,-1.09,NA,NA,0.720000028610229,10
"1353","Sweden",2013,752,"SWE",55,7,3,1.25,4.54,0.72,1,NA,1,1,2,-0.5,1,0.87,-1.09,NA,NA,0.720000028610229,NA
"1354","Sweden",2014,752,"SWE",55,7,3,1.25,4.54,0.72,1,NA,1,1,2,-0.5,1,0.87,-1.09,NA,NA,0.720000028610229,NA
"1361","Sweden",2015,NA,"SWE",55,8,3,2.64,4.99,0.72,1,NA,1,1,2,-0.5,1,0.87,-1.09,NA,NA,0.720000028610229,NA
"279","Switzerland",1990,756,"CHE",56,1,4,3.78,5.74,0.67,3,42.09955797,4,1,3,13.5,2,1.67,1.59,1,22785.82,0.720000028610229,10
"280","Switzerland",1991,756,"CHE",56,1,4,3.78,5.74,0.67,3,41.88946135,4,1,3,13.5,2,1.67,1.59,1,23171.301,0.720000028610229,10
"281","Switzerland",1992,756,"CHE",56,2,4,2.6,6.7,0.67,3,41.95634453,4,1,3,13.5,2,1.67,1.59,1,23656.34,0.720000028610229,10
