"cname","year","ccode","ccodealp","id","source_link","cab"
"Netherlands", "2016", "528", "NLD", "43", "https://www.cpds-data.org/", "2"
"Netherlands", "2017", "528", "NLD", "43", "https://www.cpds-data.org/", "2"
"Netherlands", "2018", "528", "NLD", "43", "https://www.cpds-data.org/", "2"
"Netherlands", "2019", "528", "NLD", "43", "https://www.cpds-data.org/", "2"
"Netherlands", "2020", "528", "NLD", "43", "https://www.cpds-data.org/", "2"
"New Zealand", "2015", "554", "NZL", "44", "https://www.cpds-data.org/", "3"
"New Zealand", "2016", "554", "NZL", "44", "https://www.cpds-data.org/", "3"
"New Zealand", "2017", "554", "NZL", "44", "https://www.cpds-data.org/", "3"
"New Zealand", "2018", "554", "NZL", "44", "https://www.cpds-data.org/", "3"
"New Zealand", "2019", "554", "NZL", "44", "https://www.cpds-data.org/", "3"
"New Zealand", "2020", "554", "NZL", "44", "https://www.cpds-data.org/", "3"
"Norway", "2015", "578", "NOR", "45", "https://www.cpds-data.org/", "3"
"Norway", "2016", "578", "NOR", "45", "https://www.cpds-data.org/", "3"
"Norway", "2017", "578", "NOR", "45", "https://www.cpds-data.org/", "3"
"Norway", "2018", "578", "NOR", "45", "https://www.cpds-data.org/", "4"
"Norway", "2019", "578", "NOR", "45", "https://www.cpds-data.org/", "4"
"Norway", "2020", "578", "NOR", "45", "https://www.cpds-data.org/", "3"
"Panama", "2015", "591", "PAN", "46", "...", "..."
"Poland", "2015", "616", "POL", "47", "https://www.cpds-data.org/", "2"
"Poland", "2016", "616", "POL", "47", "https://www.cpds-data.org/", "1"
"Poland", "2017", "616", "POL", "47", "https://www.cpds-data.org/", "1"
"Poland", "2018", "616", "POL", "47", "https://www.cpds-data.org/", "1"
"Poland", "2019", "616", "POL", "47", "https://www.cpds-data.org/", "1"
"Poland", "2020", "616", "POL", "47", "https://www.cpds-data.org/", "1"
"Portugal", "2015", "620", "PRT", "48", "https://www.cpds-data.org/", "2"
"Portugal", "2016", "620", "PRT", "48", "https://www.cpds-data.org/", "3"
"Portugal", "2017", "620", "PRT", "48", "https://www.cpds-data.org/", "3"
"Portugal", "2018", "620", "PRT", "48", "https://www.cpds-data.org/", "3"
"Portugal", "2019", "620", "PRT", "48", "https://www.cpds-data.org/", "3"
"Portugal", "2020", "620", "PRT", "48", "https://www.cpds-data.org/", "3"
"Romania", "2015", "642", "ROU", "49", "https://www.cpds-data.org/", "2"
"Romania", "2016", "642", "ROU", "49", "https://www.cpds-data.org/", "NA"
"Romania", "2017", "642", "ROU", "49", "https://www.cpds-data.org/", "2"
"Romania", "2018", "642", "ROU", "49", "https://www.cpds-data.org/", "2"
"Romania", "2019", "642", "ROU", "49", "https://www.cpds-data.org/", "2"
"Romania", "2020", "642", "ROU", "49", "https://www.cpds-data.org/", "3"
"Slovakia", "2015", "703", "SVK", "50", "https://www.cpds-data.org/", "1"
"Slovakia", "2016", "703", "SVK", "50", "https://www.cpds-data.org/", "2"
"Slovakia", "2017", "703", "SVK", "50", "https://www.cpds-data.org/", "2"
"Slovakia", "2018", "703", "SVK", "50", "https://www.cpds-data.org/", "2"
"Slovakia", "2019", "703", "SVK", "50", "https://www.cpds-data.org/", "2"
"Slovakia", "2020", "703", "SVK", "50", "https://www.cpds-data.org/", "4"
"Slovenia", "2015", "705", "SVN", "51", "https://www.cpds-data.org/", "4"
"Slovenia", "2016", "705", "SVN", "51", "https://www.cpds-data.org/", "4"
"Slovenia", "2017", "705", "SVN", "51", "https://www.cpds-data.org/", "4"
"Slovenia", "2018", "705", "SVN", "51", "https://www.cpds-data.org/", "3"
"Slovenia", "2019", "705", "SVN", "51", "https://www.cpds-data.org/", "3"
"Slovenia", "2020", "705", "SVN", "51", "https://www.cpds-data.org/", "2"
"South Africa", "2015", "710", "ZAF", "52", "http://www.ipu.org", "NA"
"South Africa", "2016", "710", "ZAF", "52", "http://www.ipu.org", "NA"
"South Africa", "2017", "710", "ZAF", "52", "http://www.ipu.org", "NA"
"South Africa", "2018", "710", "ZAF", "52", "http://www.ipu.org", "NA"
"South Africa", "2019", "710", "ZAF", "52", "http://www.ipu.org", "1"
"South Africa", "2020 "710", "ZAF", "52", "http://www.ipu.org", "NA"
"Spain", "2015", "724", "ESP", "53", "https://www.cpds-data.org/", "1"
"Spain", "2016", "724", "ESP", "53", "https://www.cpds-data.org/", "1"
"Spain", "2017", "724", "ESP", "53", "https://www.cpds-data.org/", "1"
"Spain", "2018", "724", "ESP", "53", "https://www.cpds-data.org/", "3"
"Spain", "2019", "724", "ESP", "53", "https://www.cpds-data.org/", "3"
"Spain", "2020", "724", "ESP", "53", "https://www.cpds-data.org/", "3"
"Suriname", "2015", "740", "SUR", "54", "http://www.ipu.org", "NA"
"Suriname", "2016, "740", "SUR", "54", "http://www.ipu.org", "NA"
"Suriname", "2017, "740", "SUR", "54", "http://www.ipu.org", "NA"
"Suriname", "2018, "740", "SUR", "54", "http://www.ipu.org", "NA"
"Suriname", "2019, "740", "SUR", "54", "http://www.ipu.org", "NA"
"Suriname", "2020 "740", "SUR", "54", "http://www.ipu.org", "2"
"Sweden", "2015", "752", "SWE", "55", "https://www.cpds-data.org/", "3"
"Sweden", "2016", "752", "SWE", "55", "https://www.cpds-data.org/", "3"
"Sweden", "2017", "752", "SWE", "55", "https://www.cpds-data.org/", "3"
"Sweden", "2018", "752", "SWE", "55", "https://www.cpds-data.org/", "3"
"Sweden", "2019", "752", "SWE", "55", "https://www.cpds-data.org/", "3"
"Sweden", "2020", "752", "SWE", "55", "https://www.cpds-data.org/", "3"
"Switzerland", "2015", "756", "CHE", "56", "https://www.cpds-data.org/", "4"
"Switzerland", "2016", "756", "CHE", "56", "https://www.cpds-data.org/", "4"
"Switzerland", "2017", "756", "CHE", "56", "https://www.cpds-data.org/", "4"
"Switzerland", "2018", "756", "CHE", "56", "https://www.cpds-data.org/", "4"
"Switzerland", "2019", "756", "CHE", "56", "https://www.cpds-data.org/", "4"
"Switzerland", "2020", "756", "CHE", "56", "https://www.cpds-data.org/", "4"
"Taiwan", "2015", "158", "TWN", "57", "...", "..."
"Trinidad and Tobago", "2015", "780", "TTO", "http://www.ipu.org", "1"
"Trinidad and Tobago", "2016, "780", "TTO", "http://www.ipu.org", "NA"
"Trinidad and Tobago", "2017, "780", "TTO", "http://www.ipu.org", "NA"
"Trinidad and Tobago", "2018, "780", "TTO", "http://www.ipu.org", "NA"
